Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Dihydrothymine,128.0586,0.73,84456.000000000000000,58.959679404788900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3-Methyl-2,5-piperazinedione",128.0586,0.73,96562.000000000000000,32.755377447104900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pyroglutamine,128.0586,0.73,118562.000000000000000,39.306452936525900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C115_RP,Timonacic,133.0199,4.69,0.500000000000000,0.500000000000000,1.610000000000000,2.180000000000000,0.410000000000000,-1.770000000000000,2.170000000000000,-0.700000000000000,-2.870000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.053052023217183200000000000000,1.000000000000000000000000000000,0.122323266602946000000000000000,0.202689370444821000000000000000,1.000000000000000000000000000000,0.021856766073142900000000000000,7132085.577487080000000,29437869.215815900000000,8852286.181924230000000,6080183.092906730000000,12536696.059857000000000,20197134.193709500000000,9704016.046540710000000,5224707.233733910000000,1580072.039781730000000,3100843.543036500000000,2183650.685699320000000,2718055.837720130000000,1918244.327900600000000,2296685.118968610000000,3117746.094226430000000,9191972.997005060000000,6442364.829834520000000,11270059.649838000000000,5434523.887679460000000,8348061.630587020000000,10827913.230252200000000,42474789.215697600000000,7562565.802229720000000,31390414.017612600000000,1.5E+05,1.3E+05,1.1E+05,9.9E+04,8.5E+04,7.4E+04,7.6E+04,69.9,30.9,75.3,30.0,76.8,23.6,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timonacic,133.0198,0.79,9546.000000000000000,36.620388022622000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C116_RP,Phosphoryethanolamine,141.0192,3.73,0.060000000000000,-0.200000000000000,-0.200000000000000,-0.650000000000000,-0.560000000000000,0.090000000000000,-0.390000000000000,-0.300000000000000,0.090000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000022139737459835800000000000,0.000067300743309565800000000000,0.999999999996173000000000000000,0.003323120787715330000000000000,0.011213338982257200000000000000,0.999999999992595000000000000000,477493248.245024000000000,564900073.569460000000000,517386701.558802000000000,509866385.692833000000000,527915162.019650000000000,586591675.801579000000000,526989415.503231000000000,521696294.419226000000000,809840727.683171000000000,708027773.430995000000000,831480760.565473000000000,699322357.083792000000000,798154524.602374000000000,719356073.242514000000000,830523715.568319000000000,803387503.936538000000000,883766575.334516000000000,827706130.772108000000000,824539104.732593000000000,657802013.920389000000000,718642699.951530000000000,642115355.367352000000000,676926175.630238000000000,681011510.802924000000000,2.2E+05,3.2E+05,1.9E+05,1.6E+05,2.2E+05,1.3E+05,1.6E+05,12.1,12.2,6.5,2.0,6.6,4.6,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phosphoryethanolamine,141.0191,0.74,990.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-hydroxy-2-aminoethylphosphonic acid,141.0191,0.74,389626.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C117_RP,Stachydrine,143.0947,4.69,0.230000000000000,0.000000000000000,-0.130000000000000,1.370000000000000,-3.910000000000000,-5.280000000000000,1.600000000000000,-3.550000000000000,-5.150000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.361108669918084000000000000000,0.000004541370243471570000000000,0.000000607891409383800000000000,0.091855108558847100000000000000,0.000032317384775597000000000000,0.000000834022960763403000000000,587709.897241490000000,1158434.796911890000000,918611.759444920000000,699645.674330619000000,959711.845621054000000,1065389.062649630000000,426238.552950678000000,702196.283753945000000,340401.498333320000000,267131.380708286000000,243960.187515779000000,143463.713596527000000,146652.472886748000000,317605.810156786000000,725471.636379319000000,683478.552564504000000,16923107.199817600000000,13143562.326526700000000,13254894.956108000000000,9385873.040191040000000,9458598.552375660000000,11326592.030525000000000,9224789.344199300000000,7343972.930232120000000,3.7E+05,9.3E+04,5.6E+05,2.5E+05,2.9E+05,3.9E+05,3.6E+05,24.2,29.8,65.8,69.6,26.5,35.8,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-(trimethylammonio)but-2-enoate,143.0946,0.74,4575319.000000000000000,32.833659641660800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-(4-Morpholinyl)propanal,143.0946,0.74,9280618.000000000000000,31.626381630002900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Methylenenorleucine,143.0946,0.74,35013193.000000000000000,39.048963033102500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"8-Azabicyclo[3.2.1]octane-3,6-diol",143.0946,0.74,20057355.000000000000000,33.423181193949200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,1-Dimethyl-2-pyrrolidiniumcarboxylate",143.0946,0.74,21240345.000000000000000,40.616350432413600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stachydrine,143.0946,0.74,103115.000000000000000,40.616350432413600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C118_RP,3-Methylenenorleucine,143.0947,3.32,0.040000000000000,0.770000000000000,0.090000000000000,4.960000000000000,5.110000000000000,0.150000000000000,4.230000000000000,5.070000000000000,0.840000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000909549731864523000000000,0.000001151844390660010000000000,0.999999999996173000000000000000,0.000004102007915922760000000000,0.000000236267706010818000000000,0.701914491298347000000000000000,9445354.230149100000000,11583956.948548200000000,10026659.720020200000000,8914523.351943110000000,9960975.515037760000000,9911296.231816930000000,9015779.742128630000000,10072602.467038800000000,184289.255903375000000,565719.212612090000000,904432.862670523000000,487945.983853251000000,421770.551975616000000,553394.591225728000000,201162.192496894000000,512240.250814441000000,276249.089180902000000,291953.154315172000000,1382141.540430970000000,302592.178675340000000,284077.125989011000000,319779.844145052000000,274061.320652388000000,291958.854836940000000,8.0E+05,8.1E+05,1.8E+05,6.9E+05,8.1E+05,8.2E+05,6.9E+05,4.4,99.6,6.8,78.4,10.9,4.9,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-(trimethylammonio)but-2-enoate,143.0946,0.75,4575319.000000000000000,47.241441706430800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-(4-Morpholinyl)propanal,143.0946,0.75,9280618.000000000000000,45.528372511671400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Methylenenorleucine,143.0946,0.75,35013193.000000000000000,56.818169752927300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"8-Azabicyclo[3.2.1]octane-3,6-diol",143.0946,0.75,20057355.000000000000000,48.849847112111100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,1-Dimethyl-2-pyrrolidiniumcarboxylate",143.0946,0.75,21240345.000000000000000,59.622360095864600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stachydrine,143.0946,0.75,103115.000000000000000,59.622360095864600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C119_RP,"3,4-dehydrothiomorpholine-3-carboxylic acid",145.0198,6.03,0.240000000000000,0.520000000000000,-0.230000000000000,1.260000000000000,0.990000000000000,-0.280000000000000,0.980000000000000,1.450000000000000,0.470000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.025028483400546900000000000000,0.008949138706482170000000000000,0.999999999996173000000000000000,0.110207769527368000000000000000,0.005081317830581550000000000000,0.866932588912216000000000000000,41194652.839436600000000,57466282.153421400000000,42823043.679099400000000,36969989.527142300000000,42269567.055954700000000,81978277.178007200000000,48240503.429385300000000,43067415.626525400000000,16323514.363001500000000,26493449.932128400000000,16184890.071527400000000,27806804.031993400000000,19137734.231220900000000,23778242.568830600000000,19709321.773203900000000,24356550.414680100000000,20538783.019740700000000,15109469.564145600000000,6199731.373400930000000,18726951.552929600000000,24582804.081651500000000,17944595.489937200000000,22423426.268364200000000,22074640.134870800000000,1.4E+05,1.1E+05,1.0E+05,8.2E+04,7.3E+04,6.7E+04,6.2E+04,15.5,45.1,7.3,10.3,36.5,7.2,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(S)-4-amino-4,5-dihydro-2-thiophenecarboxylic acid",145.0198,0.45,18552670.000000000000000,22.326649468418200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,4-dehydrothiomorpholine-3-carboxylic acid",145.0198,0.45,163623.000000000000000,44.653298936836400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C120_RP,hydroxyacetone phosphate,154.0032,4.19,0.120000000000000,0.190000000000000,-0.320000000000000,2.350000000000000,3.410000000000000,1.060000000000000,2.270000000000000,3.850000000000000,1.570000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000006984348486960540000000000,0.000000018114349912032600000000,0.013588812485206900000000000000,0.000008923034269639040000000000,0.000000004723052340383860000000,0.001286198301843300000000000000,6864281.132604750000000,9089112.239102290000000,8381835.644226210000000,7435966.774271780000000,6795821.093422140000000,11712662.274647900000000,10231198.222331000000000,7471214.928186240000000,1623589.518633270000000,1971783.636852260000000,1194633.853542940000000,1593023.991109960000000,1507552.412893130000000,1304642.011952100000000,1486945.759463080000000,1831263.106155900000000,714367.661606994000000,774612.457951851000000,718059.011740274000000,376831.981882924000000,739771.075325921000000,915244.292305933000000,430138.603239669000000,355277.983648818000000,7.7E+04,8.2E+04,7.9E+04,7.6E+04,7.6E+04,7.2E+04,6.9E+04,46.7,22.7,17.5,12.6,22.5,20.0,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Propanoyl phosphate,154.0031,0.50,1007.000000000000000,16.190618531943400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"glycerol 1,2-cyclic phosphate",154.0031,0.50,389161.000000000000000,16.447612476894900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hydroxyacetone phosphate,154.0031,0.50,132971.000000000000000,18.503564036506800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C121_RP,Pregabalin,159.1260,5.38,-1.020000000000000,-0.190000000000000,-0.110000000000000,-0.610000000000000,-0.170000000000000,0.440000000000000,-1.450000000000000,-1.080000000000000,0.370000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.999999999996173000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.999999999992595000000000000000,119981682.135350000000000,88874942.345631100000000,180862990.654532000000000,287267596.630702000000000,281236961.152383000000000,59294569.788101500000000,58221737.876429200000000,27509149.194908500000000,31912528.996064900000000,26787276.742032000000000,463066033.166262000000000,307549744.460962000000000,375724907.073907000000000,335503850.334200000000000,84769566.583821700000000,96724489.982417100000000,204654632.298670000000000,172197715.762732000000000,154215139.030873000000000,113870829.301016000000000,157947827.657064000000000,140586401.207778000000000,180764863.549086000000000,257761247.924009000000000,3.7E+05,3.4E+05,3.3E+05,3.1E+05,3.0E+05,3.0E+05,2.9E+05,36.5,13.4,79.9,89.0,101.1,59.4,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pregabalin,159.1259,0.60,4589156.000000000000000,18.305706558574300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RH0365500,159.1259,0.60,62727.000000000000000,18.305706558574300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C122_RP,6-Deoxy-D-arabino-hexos-2-ulose,162.0529,10.73,-0.010000000000000,-0.090000000000000,-0.070000000000000,-0.790000000000000,2.710000000000000,3.500000000000000,-0.700000000000000,2.770000000000000,3.480000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.005532283308815010000000000000,0.001044769335825400000000000000,1.000000000000000000000000000000,0.004814142084519930000000000000,0.001380992753654330000000000000,8350951.223759720000000,14235381.478599400000000,9135134.448803110000000,7974366.397611750000000,8640901.323651880000000,6858027.903545160000000,9198759.558931510000000,9701072.283869720000000,16189526.587279500000000,14897261.883293600000000,14540132.880258600000000,13753325.973189400000000,19925929.945150600000000,17024819.657740800000000,12495032.842899400000000,13888364.394813900000000,1157066.684340680000000,1336944.292837270000000,1553354.351059040000000,120588.387021966000000,1581904.700248180000000,1764128.568400280000000,118952.711624890000000,1248170.248819860000000,8.8E+04,9.0E+04,9.9E+04,9.5E+04,7.7E+04,8.9E+04,8.2E+04,62.8,62.0,10.1,19.9,33.5,4.6,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-dehydro-3-deoxy-L-rhamnonic acid,162.0528,0.59,5256701.000000000000000,53.912250685176200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-dehydro-3-deoxy-D-fuconic acid,162.0528,0.59,4573654.000000000000000,53.912250685176200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-dehydro-3-deoxy-L-fuconic acid,162.0528,0.59,4573655.000000000000000,53.912250685176200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82278,162.0528,0.59,4573835.000000000000000,56.732737203450600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2(R)-Hydroxyadipic acid,162.0528,0.59,8031259.000000000000000,56.040488480172200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-hydroxymethylglutaric acid,162.0528,0.59,8436868.000000000000000,50.866317036692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(2R,3S,4S,5R)-7-Oxabicyclo[4.1.0]heptane-2,3,4,5-tetrol",162.0528,0.59,8165123.000000000000000,48.722720056516500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Levoglucosan,162.0528,0.59,9587432.000000000000000,50.745033046222800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Deoxy-scyllo-inosose,162.0528,0.59,8758486.000000000000000,53.152058243472500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"L-Fucono-1,5-lactone",162.0528,0.59,393429.000000000000000,55.358217868606700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(R)-2-ethylmalic acid,162.0528,0.59,4444152.000000000000000,50.577648330782900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(2R,3S)-2,3-dimethylmalate",162.0528,0.59,4444223.000000000000000,46.638901474807000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1-Deoxyhexo-2,3-diulo-3,6-furanose",162.0528,0.59,35013100.000000000000000,55.086819875287100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(3S,4S,5R)-3,4-Dihydroxy-5-[(1R)-1-hydroxyethyl]dihydro-2(3H)-furanone (non-preferred name)",162.0528,0.59,58837573.000000000000000,56.732737203450600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,162.0528,0.59,58837576.000000000000000,53.712300540443200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-Deoxy-D-arabino-hexos-2-ulose,162.0528,0.59,58837673.000000000000000,58.467264067819800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Deoxy-3-C-formyl-beta-L-lyxofuranose,162.0528,0.59,58837631.000000000000000,52.147773364758400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,6-Anhydro-beta-D-mannopyranose",162.0528,0.59,58830027.000000000000000,52.518564542052800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"L-3,6-anhydrogalactose",162.0528,0.59,20016601.000000000000000,55.086819875287100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,6-Anhydro-D-glucose",162.0528,0.59,17229508.000000000000000,55.086819875287100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,6-anhydrogalactose",162.0528,0.59,17229511.000000000000000,55.086819875287100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meglutol,162.0528,0.59,1600.000000000000000,55.011819579250100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diethylpyrocarbonate,162.0528,0.59,2943.000000000000000,26.788495557879300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(R)-3,3-dimethylmalic acid",162.0528,0.59,388509.000000000000000,44.015239287319600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,5-Anhydro-L-arabino-hex-1-enitol",162.0528,0.59,388378.000000000000000,55.358217868606700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Ethyl-2-hydroxysuccinic acid,162.0528,0.59,388797.000000000000000,50.577648330782900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1725256,162.0528,0.59,388693.000000000000000,47.288656146029300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2-Hydroxy-2,3-dimethylsuccinic acid",162.0528,0.59,347725.000000000000000,46.638901474807000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,6-Anhydro-D-talose",162.0528,0.59,389859.000000000000000,55.086819875287100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,6-Anhydro-D-mannose",162.0528,0.59,389861.000000000000000,55.086819875287100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(3R,4R,5S)-3,4-Dihydroxy-5-[(1R)-1-hydroxyethyl]dihydro-2(3H)-furanone",162.0528,0.59,389756.000000000000000,56.732737203450600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,6-Dideoxyhex-2-ulosonic acid",162.0528,0.59,389169.000000000000000,53.912250685176200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(3S)-2-Hydroxy-2,3-dimethylsuccinic acid",162.0528,0.59,389082.000000000000000,46.638901474807000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Hydroxyadipic acid,162.0528,0.59,167943.000000000000000,56.040488480172200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,5-Anhydro-D-fructose",162.0528,0.59,112421.000000000000000,55.358217868606700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Hydroxyadipic acid,162.0528,0.59,133894.000000000000000,56.040488480172200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C123_RP,acetyltaurine,167.0253,4.71,-0.030000000000000,-0.680000000000000,-0.480000000000000,-2.870000000000000,-2.390000000000000,0.480000000000000,-2.210000000000000,-1.930000000000000,0.280000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000047439117837252200000000,0.000000245693655609683000000000,0.657663330966873000000000000000,0.000001340265875762630000000000,0.000002198373858921330000000000,0.999999999992595000000000000000,5740442.695746330000000,7574080.695456840000000,5602118.137028990000000,5681444.410864830000000,5928091.272232500000000,5430250.711072480000000,5366315.762131140000000,5442128.557541440000000,44407479.883475100000000,28453931.449888200000000,40103177.412701500000000,22143971.675923900000000,30260300.198883500000000,23183621.355925300000000,42890932.845435100000000,36683053.582197400000000,38453182.180123400000000,39360111.844497000000000,32681496.028875900000000,19697825.180985800000000,22794574.165403600000000,22311297.273328200000000,26709342.393771400000000,20203004.577681500000000,4.8E+04,4.4E+04,5.2E+04,4.6E+04,4.3E+04,4.3E+04,5.2E+04,36.9,22.8,24.1,16.1,17.2,4.2,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MFCD00171284,167.0252,0.25,142032.000000000000000,35.534702890874400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acetyltaurine,167.0252,0.25,140553.000000000000000,41.421506339292800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C124_RP,acetyltaurine,167.0253,5.33,-0.130000000000000,-0.640000000000000,-0.500000000000000,-3.380000000000000,-2.820000000000000,0.560000000000000,-2.870000000000000,-2.450000000000000,0.420000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000025991994633297100000000,0.000000096189680308191200000000,0.786932005343394000000000000000,0.000000324179861030790000000000,0.000001049140677971390000000000,0.974160343662582000000000000000,1048237.204290850000000,1873084.756537310000000,1169071.032721640000000,1010764.984419100000000,932353.393330224000000,856193.309333060000000,1088586.836357580000000,948396.716443468000000,11999866.884800800000000,7915281.839381810000000,11334547.824152100000000,6066447.105799960000000,8114306.548190090000000,6382878.723637580000000,10937386.751571200000000,10600201.916231300000000,10379853.642071200000000,9216497.462593100000000,8073421.022425000000000,5003633.510475780000000,7040961.214249000000000,5267661.964741050000000,6641965.154846990000000,5452203.063285560000000,1.2E+05,1.1E+05,1.2E+05,1.2E+05,1.0E+05,1.0E+05,8.8E+04,32.0,20.9,26.7,16.2,40.2,9.3,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MFCD00171284,167.0252,0.26,142032.000000000000000,35.250178750114500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acetyltaurine,167.0252,0.26,140553.000000000000000,41.142557082114900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
